,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Andria Kimpton,  Australia,Peanut Butter Cubes,17/6/2021,"$7,294 ",174,348
,,Beverie Moffet,   Australia,Spicy Special Slims,17/6/2021,"$5,516 ",228,205
,,Dennison Crosswaite,   USA,Orange Choco,18/6/2021,"$3,598 ",34,450
,,Wilone O'Kielt,Australia,70% Dark Bites,18/6/2021,"$4,795 ",76,320
,,Mallorie Waber,  USA,After Nines,18/6/2021,"$6,657 ",296,222
,,Oby Sorrel,  UK,Almond Choco,18/6/2021,"$8,071 ",37,367
,,Jehu Rudeforth,  UK,Caramel Stuffed Bars,18/6/2021,"$16,548 ",246,613
,,Ches Bonnell,UK,Caramel Stuffed Bars,18/6/2021,"$1,393 ",207,61
,,Ches Bonnell,  India,Baker's Choco Chips,18/6/2021,"$3,731 ",155,249
,,Roddy Speechley,New Zealand,Milk Bars,18/6/2021,"$7,322 ",232,293
,,Van Tuxwell,   USA,Raspberry Choco,18/6/2021,"$3,367 ",164,154
,,Madelene Upcott,   New Zealand,Raspberry Choco,18/6/2021,"$3,752 ",252,188
,,Kaine Padly, UK,85% Dark Bars,18/6/2021,"$3,080 ",141,182
,,Jehu Rudeforth, USA,After Nines,18/6/2021,"$9,534 ",103,318
,,Gunar Cockshoot,  UK,Spicy Special Slims,18/6/2021,"$5,166 ",150,216
,,Dotty Strutley,  India,Smooth Sliky Salty,18/6/2021,"$4,018 ",229,237
,,Barr Faughny,  Canada,99% Dark & Pure,18/6/2021,"$5,376 ",69,336
,,Rafaelita Blaksland,Canada,Peanut Butter Cubes,18/6/2021,"$2,884 ",101,138
,,Camilla Castle,  New Zealand,Caramel Stuffed Bars,18/6/2021,"$7,588 ",72,253
,,Husein Augar,India,99% Dark & Pure,18/6/2021,"$12,341 ",303,561
,,Gigi Bohling, Australia,Orange Choco,18/6/2021,"$7,392 ",53,822
,,Kelci Walkden,New Zealand,Almond Choco,21/6/2021,"$9,247 ",204,421
,,Kelci Walkden,   India,Caramel Stuffed Bars,21/6/2021,"$14,035 ",66,540
,,Kaine Padly,UK,50% Dark Bites,21/6/2021,"$1,890 ",20,146
,,Jan Morforth, New Zealand,After Nines,21/6/2021,"$3,738 ",98,134
,,Andria Kimpton,   Australia,50% Dark Bites,22/6/2021,"$2,940 ",46,294
,,Camilla Castle,   Canada,Eclairs,22/6/2021,"$5,145 ",325,396
,,Curtice Advani,  UK,Orange Choco,22/6/2021,"$3,031 ",316,337
,,Brien Boise,New Zealand,Organic Choco Syrup,22/6/2021,"$2,317 ",82,101
,,Camilla Castle, USA,Peanut Butter Cubes,22/6/2021,"$5,327 ",168,214
,,Camilla Castle, USA,Mint Chip Choco,22/6/2021,"$7,301 ",288,457
,,Dotty Strutley,  Australia,Peanut Butter Cubes,22/6/2021,"$12,880 ",195,644
,,Rafaelita Blaksland,   UK,Drinking Coco,22/6/2021,"$11,221 ",2,511
,,Camilla Castle,   India,After Nines,23/6/2021,"$4,599 ",50,184
,,Oby Sorrel,USA,Caramel Stuffed Bars,23/6/2021,"$1,981 ",208,77
,,Van Tuxwell,  USA,Peanut Butter Cubes,23/6/2021,$784 ,510,33
,,Dennison Crosswaite,UK,Almond Choco,23/6/2021,"$3,171 ",40,151
,,Kelci Walkden, Canada,70% Dark Bites,23/6/2021,"$6,853 ",147,762
,,Mallorie Waber,  Australia,Spicy Special Slims,24/6/2021,"$4,648 ",147,194
,,Andria Kimpton,   India,Smooth Sliky Salty,24/6/2021,"$10,493 ",20,656
,,Dennison Crosswaite,  New Zealand,Caramel Stuffed Bars,24/6/2021,"$1,456 ",49,54
,,Roddy Speechley, USA,Manuka Honey Choco,24/6/2021,"$9,296 ",341,345
,,Rafaelita Blaksland,India,Baker's Choco Chips,24/6/2021,"$9,723 ",122,973
,,Marney O'Breen,   Australia,Caramel Stuffed Bars,24/6/2021,$483 ,595,20
,,Rafaelita Blaksland,  India,70% Dark Bites,24/6/2021,"$1,869 ",46,144
,,Dennison Crosswaite,India,Orange Choco,24/6/2021,"$6,951 ",290,696
,,Beverie Moffet, UK,Choco Coated Almonds,24/6/2021,"$4,466 ",279,236
,,Andria Kimpton,UK,Almond Choco,24/6/2021,"$3,199 ",98,178
,,Gigi Bohling,   USA,99% Dark & Pure,24/6/2021,"$11,270 ",179,537
,,Karlen McCaffrey,  UK,Fruit & Nut Bars,24/6/2021,"$11,641 ",244,728
,,Van Tuxwell,UK,Caramel Stuffed Bars,24/6/2021,"$11,809 ",217,473
,,Marney O'Breen, New Zealand,99% Dark & Pure,24/6/2021,"$22,484 ",38,978
,,Oby Sorrel, New Zealand,50% Dark Bites,24/6/2021,"$4,130 ",33,276
,,Mallorie Waber, Canada,85% Dark Bars,24/6/2021,"$14,420 ",163,721
,,Marney O'Breen,Canada,Spicy Special Slims,24/6/2021,"$3,220 ",12,135
,,Gigi Bohling, UK,Drinking Coco,25/6/2021,"$6,293 ",248,243
,,Kaine Padly,New Zealand,Fruit & Nut Bars,25/6/2021,"$15,365 ",338,1281
,,Roddy Speechley,   UK,Peanut Butter Cubes,25/6/2021,"$8,897 ",131,495
,,Van Tuxwell,  New Zealand,White Choc,25/6/2021,"$5,215 ",437,348
,,Oby Sorrel, Australia,Raspberry Choco,25/6/2021,"$12,180 ",68,609
,,Van Tuxwell,  USA,Spicy Special Slims,25/6/2021,"$6,741 ",87,281
,,Andria Kimpton,   Canada,Milk Bars,25/6/2021,"$2,856 ",197,99
,,Kelci Walkden,USA,85% Dark Bars,25/6/2021,"$2,758 ",5,163
,,Andria Kimpton,New Zealand,70% Dark Bites,25/6/2021,"$9,660 ",29,805
,,Wilone O'Kielt, New Zealand,After Nines,25/6/2021,$49 ,445,2
,,Oby Sorrel,USA,Milk Bars,25/6/2021,"$6,258 ",338,202
,,Andria Kimpton,   India,Milk Bars,25/6/2021,$28 ,274,2
,,Wilone O'Kielt,  Canada,Smooth Sliky Salty,25/6/2021,"$4,452 ",309,212
,,Dennison Crosswaite, Australia,Spicy Special Slims,25/6/2021,"$2,716 ",240,105
,,Madelene Upcott,  UK,Spicy Special Slims,25/6/2021,"$12,495 ",23,481
,,Barr Faughny,  Canada,Manuka Honey Choco,25/6/2021,"$9,737 ",212,296
,,Jehu Rudeforth,  Australia,50% Dark Bites,25/6/2021,"$3,241 ",232,325
,,Brien Boise,   USA,Almond Choco,25/6/2021,"$9,716 ",33,608
,,Jan Morforth,   Canada,85% Dark Bars,25/6/2021,"$6,461 ",178,404
,,Rafaelita Blaksland,  Australia,Manuka Honey Choco,25/6/2021,$420 ,52,14
,,Kaine Padly, New Zealand,Eclairs,25/6/2021,"$3,906 ",170,279
,,Mallorie Waber,  Canada,Milk Bars,28/6/2021,"$3,129 ",177,126
,,Ches Bonnell,  USA,85% Dark Bars,28/6/2021,"$2,604 ",368,114
,,Gunar Cockshoot,  UK,Orange Choco,28/6/2021,"$2,009 ",265,144
,,Brien Boise,USA,Caramel Stuffed Bars,28/6/2021,"$3,339 ",92,129
,,Roddy Speechley,Australia,Mint Chip Choco,28/6/2021,"$3,871 ",107,204
,,Gigi Bohling, Australia,Peanut Butter Cubes,28/6/2021,"$1,120 ",301,44
,,Brien Boise,USA,Peanut Butter Cubes,28/6/2021,"$4,529 ",109,227
,,Brien Boise,   India,70% Dark Bites,28/6/2021,"$3,115 ",22,284
,,Madelene Upcott, New Zealand,85% Dark Bars,28/6/2021,"$6,111 ",115,322
,,Curtice Advani,  USA,Almond Choco,28/6/2021,"$7,476 ",232,440
,,Beverie Moffet,Canada,Mint Chip Choco,28/6/2021,"$1,925 ",256,92
,,Brien Boise,  USA,Drinking Coco,28/6/2021,"$4,760 ",157,207
,,Jehu Rudeforth, UK,Choco Coated Almonds,28/6/2021,"$17,724 ",63,1182
,,Curtice Advani,India,Mint Chip Choco,28/6/2021,"$3,731 ",89,220
,,Andria Kimpton,  Australia,70% Dark Bites,28/6/2021,"$7,574 ",99,583
,,Kaine Padly, Australia,White Choc,28/6/2021,"$4,137 ",34,345
,,Andria Kimpton, India,Caramel Stuffed Bars,28/6/2021,"$13,076 ",120,436
,,Rafaelita Blaksland,  Canada,Mint Chip Choco,29/6/2021,"$4,403 ",66,339
,,Mallorie Waber,   Canada,Peanut Butter Cubes,29/6/2021,"$2,478 ",396,108
,,Wilone O'Kielt,USA,Peanut Butter Cubes,29/6/2021,"$2,016 ",26,96
,,Rafaelita Blaksland,   USA,70% Dark Bites,29/6/2021,"$1,799 ",262,129
,,Oby Sorrel,USA,Fruit & Nut Bars,29/6/2021,"$6,685 ",277,372
,,Curtice Advani, UK,85% Dark Bars,29/6/2021,"$5,257 ",225,277
,,Karlen McCaffrey,Australia,Eclairs,29/6/2021,"$2,408 ",232,172
,,Husein Augar,   UK,Raspberry Choco,29/6/2021,"$5,096 ",92,243
,,Brien Boise,USA,Baker's Choco Chips,29/6/2021,"$9,772 ",116,815
,,Roddy Speechley,USA,50% Dark Bites,29/6/2021,"$8,071 ",78,539
,,Curtice Advani,   Canada,Smooth Sliky Salty,30/6/2021,"$4,984 ",543,333
,,Madelene Upcott, UK,Smooth Sliky Salty,30/6/2021,"$8,134 ",299,543
,,Roddy Speechley,  USA,Milk Bars,30/6/2021,$861 ,57,30
,,Dotty Strutley,New Zealand,Spicy Special Slims,30/6/2021,"$8,694 ",17,396
,,Kaine Padly,  UK,Manuka Honey Choco,30/6/2021,"$2,576 ",139,84
,,Roddy Speechley,UK,Raspberry Choco,1/7/2021,"$1,519 ",214,73
,,Andria Kimpton,  Canada,Choco Coated Almonds,1/7/2021,"$7,476 ",152,534
,,Karlen McCaffrey,   USA,Manuka Honey Choco,1/7/2021,"$8,155 ",84,272
,,Kelci Walkden,   Australia,50% Dark Bites,1/7/2021,"$1,995 ",212,167
,,Kelci Walkden, USA,Smooth Sliky Salty,1/7/2021,"$3,535 ",22,169
,,Madelene Upcott,   New Zealand,Mint Chip Choco,1/7/2021,"$5,033 ",142,360
,,Madelene Upcott, USA,70% Dark Bites,1/7/2021,"$5,068 ",35,461
,,Husein Augar,  New Zealand,White Choc,2/7/2021,$399 ,117,37
,,Mallorie Waber,  UK,Caramel Stuffed Bars,2/7/2021,"$1,246 ",235,43
,,Marney O'Breen,   India,Manuka Honey Choco,2/7/2021,"$3,423 ",464,127
,,Gunar Cockshoot, USA,Orange Choco,2/7/2021,"$2,632 ",150,329
,,Barr Faughny,   Australia,85% Dark Bars,2/7/2021,"$5,474 ",83,274
,,Kelci Walkden, Canada,50% Dark Bites,2/7/2021,$84 ,204,9
,,Rafaelita Blaksland, USA,Manuka Honey Choco,2/7/2021,"$4,228 ",26,157
,,Van Tuxwell,  New Zealand,Spicy Special Slims,2/7/2021,"$5,418 ",253,258
,,Gunar Cockshoot,UK,Almond Choco,2/7/2021,"$2,373 ",252,132
,,Curtice Advani,  Canada,50% Dark Bites,2/7/2021,"$8,659 ",245,963
,,Andria Kimpton,  UK,Choco Coated Almonds,2/7/2021,"$11,361 ",43,758
,,Madelene Upcott,   New Zealand,Spicy Special Slims,2/7/2021,$462 ,312,21
,,Kaine Padly,  UK,Eclairs,2/7/2021,"$3,668 ",96,175
,,Karlen McCaffrey,   New Zealand,Caramel Stuffed Bars,2/7/2021,"$2,534 ",17,102
,,Wilone O'Kielt, UK,Eclairs,5/7/2021,"$5,838 ",290,325
,,Beverie Moffet,   UK,Drinking Coco,5/7/2021,"$8,036 ",50,366
,,Oby Sorrel, Australia,Eclairs,5/7/2021,"$3,311 ",215,195
,,Roddy Speechley, India,Manuka Honey Choco,5/7/2021,$21 ,128,1
,,Oby Sorrel,  Australia,85% Dark Bars,5/7/2021,"$6,979 ",36,349
,,Gunar Cockshoot,   Canada,Choco Coated Almonds,5/7/2021,"$7,308 ",34,366
,,Gunar Cockshoot,New Zealand,85% Dark Bars,5/7/2021,"$14,609 ",22,812
,,Dennison Crosswaite,Canada,Choco Coated Almonds,6/7/2021,"$7,721 ",264,368
,,Beverie Moffet,   New Zealand,70% Dark Bites,6/7/2021,"$6,944 ",446,463
,,Camilla Castle,  India,50% Dark Bites,6/7/2021,"$3,738 ",117,234
,,Ches Bonnell, Australia,Eclairs,6/7/2021,"$13,867 ",155,730
,,Karlen McCaffrey, UK,99% Dark & Pure,6/7/2021,"$6,664 ",152,392
,,Oby Sorrel,USA,Drinking Coco,6/7/2021,"$4,802 ",41,161
,,Roddy Speechley,   Canada,Raspberry Choco,6/7/2021,"$11,410 ",15,571
,,Curtice Advani,  India,Choco Coated Almonds,6/7/2021,$308 ,205,22
,,Beverie Moffet,   New Zealand,Milk Bars,7/7/2021,"$2,009 ",87,75
,,Ches Bonnell,   Canada,50% Dark Bites,7/7/2021,"$2,191 ",4,200
,,Gunar Cockshoot, India,Drinking Coco,7/7/2021,"$5,642 ",147,217
,,Karlen McCaffrey,   Canada,Milk Bars,7/7/2021,$511 ,295,20
,,Roddy Speechley,   Canada,50% Dark Bites,7/7/2021,"$19,754 ",175,1976
,,Dotty Strutley,   Canada,Drinking Coco,7/7/2021,"$1,547 ",286,65
,,Beverie Moffet,  New Zealand,Almond Choco,7/7/2021,"$4,991 ",532,294
,,Dotty Strutley,New Zealand,Manuka Honey Choco,7/7/2021,"$17,647 ",186,679
,,Roddy Speechley,   Australia,Eclairs,7/7/2021,"$12,593 ",37,969
,,Jan Morforth,   Australia,Fruit & Nut Bars,7/7/2021,"$4,368 ",51,398
,,Karlen McCaffrey,  UK,50% Dark Bites,7/7/2021,"$8,715 ",182,727
,,Barr Faughny,UK,Choco Coated Almonds,7/7/2021,"$1,617 ",314,102
,,Brien Boise,   USA,Choco Coated Almonds,7/7/2021,"$1,085 ",110,58
,,Dotty Strutley,New Zealand,Organic Choco Syrup,7/7/2021,"$4,256 ",283,158
,,Brien Boise, UK,Choco Coated Almonds,7/7/2021,$175 ,24,8
,,Roddy Speechley,   Canada,70% Dark Bites,7/7/2021,"$10,689 ",151,713
,,Kaine Padly,USA,Eclairs,7/7/2021,"$7,798 ",9,557
,,Van Tuxwell,   India,Baker's Choco Chips,7/7/2021,"$1,036 ",76,87
,,Ches Bonnell, New Zealand,White Choc,7/7/2021,"$2,107 ",17,163
,,Beverie Moffet,   New Zealand,After Nines,7/7/2021,"$7,098 ",348,237
,,Andria Kimpton,  Canada,Orange Choco,7/7/2021,"$3,073 ",94,513
,,Curtice Advani, UK,Baker's Choco Chips,7/7/2021,"$5,145 ",13,343
,,Gigi Bohling,  New Zealand,Organic Choco Syrup,7/7/2021,"$4,620 ",166,185
,,Karlen McCaffrey,India,Milk Bars,8/7/2021,"$6,062 ",244,217
,,Brien Boise,   Australia,Peanut Butter Cubes,8/7/2021,"$7,581 ",171,304
,,Ches Bonnell, New Zealand,Raspberry Choco,8/7/2021,"$2,198 ",17,105
,,Roddy Speechley,   India,Milk Bars,8/7/2021,"$1,946 ",51,65
,,Roddy Speechley, Canada,Caramel Stuffed Bars,8/7/2021,"$2,800 ",230,108
,,Camilla Castle,   UK,Smooth Sliky Salty,8/7/2021,"$7,182 ",332,360
,,Jehu Rudeforth,USA,Choco Coated Almonds,8/7/2021,"$7,301 ",287,522
,,Oby Sorrel,   Canada,Organic Choco Syrup,8/7/2021,"$10,108 ",107,349
,,Rafaelita Blaksland, India,Manuka Honey Choco,8/7/2021,"$5,369 ",97,174
,,Madelene Upcott,Canada,Choco Coated Almonds,8/7/2021,"$2,667 ",96,167
,,Wilone O'Kielt,  New Zealand,Caramel Stuffed Bars,8/7/2021,"$16,779 ",215,646
,,Jehu Rudeforth,New Zealand,70% Dark Bites,8/7/2021,"$10,521 ",132,1169
,,Mallorie Waber, Australia,Peanut Butter Cubes,8/7/2021,"$1,113 ",82,51
,,Mallorie Waber,   UK,White Choc,8/7/2021,"$13,188 ",301,1015
,,Kelci Walkden,   USA,Raspberry Choco,8/7/2021,"$4,760 ",53,340
,,Dotty Strutley, India,50% Dark Bites,8/7/2021,"$6,461 ",153,808
,,Jan Morforth,Canada,Orange Choco,8/7/2021,"$6,454 ",180,718
,,Andria Kimpton,Canada,Fruit & Nut Bars,8/7/2021,"$1,757 ",125,118
,,Mallorie Waber,  New Zealand,99% Dark & Pure,8/7/2021,"$2,618 ",83,110
,,Dotty Strutley,India,Drinking Coco,9/7/2021,"$10,815 ",100,373
,,Kaine Padly, UK,Drinking Coco,9/7/2021,"$12,488 ",358,500
,,Jehu Rudeforth,Canada,Eclairs,9/7/2021,"$4,536 ",139,239
,,Barr Faughny,  India,99% Dark & Pure,9/7/2021,"$1,645 ",379,83
,,Gunar Cockshoot,New Zealand,White Choc,12/7/2021,"$1,883 ",63,135
,,Karlen McCaffrey,Australia,50% Dark Bites,12/7/2021,"$7,091 ",92,546
,,Kaine Padly, Australia,70% Dark Bites,12/7/2021,"$7,763 ",351,555
,,Barr Faughny, New Zealand,Milk Bars,12/7/2021,"$2,534 ",46,111
,,Kelci Walkden,USA,Organic Choco Syrup,12/7/2021,$91 ,26,4
,,Marney O'Breen,   Canada,Milk Bars,12/7/2021,"$1,813 ",31,73
,,Andria Kimpton, USA,Raspberry Choco,12/7/2021,"$3,430 ",263,215
,,Husein Augar,UK,Smooth Sliky Salty,12/7/2021,"$7,063 ",18,416
,,Rafaelita Blaksland,UK,Caramel Stuffed Bars,12/7/2021,"$3,780 ",38,158
,,Kaine Padly, New Zealand,Mint Chip Choco,13/7/2021,"$1,456 ",61,91
,,Kaine Padly,   UK,Baker's Choco Chips,13/7/2021,"$7,889 ",337,494
,,Van Tuxwell, Canada,Organic Choco Syrup,13/7/2021,$693 ,248,23
,,Marney O'Breen,  USA,Orange Choco,13/7/2021,"$9,548 ",32,735
,,Wilone O'Kielt, New Zealand,Choco Coated Almonds,13/7/2021,"$4,445 ",211,203
,,Brien Boise, Canada,White Choc,13/7/2021,"$1,288 ",228,86
,,Kelci Walkden,  Canada,85% Dark Bars,13/7/2021,"$6,167 ",322,257
,,Gigi Bohling,  UK,Almond Choco,13/7/2021,"$6,909 ",112,364
,,Ches Bonnell,Australia,50% Dark Bites,13/7/2021,"$2,296 ",122,154
,,Gunar Cockshoot, New Zealand,Mint Chip Choco,14/7/2021,$406 ,15,24
,,Wilone O'Kielt,   India,Drinking Coco,14/7/2021,"$1,904 ",199,71
,,Dotty Strutley,  UK,Almond Choco,14/7/2021,"$9,443 ",168,430
,,Dotty Strutley, USA,Manuka Honey Choco,14/7/2021,"$1,232 ",7,38
,,Gigi Bohling,   UK,Mint Chip Choco,14/7/2021,"$1,519 ",9,95
,,Roddy Speechley,UK,Fruit & Nut Bars,14/7/2021,$231 ,299,14
,,Marney O'Breen,   Canada,After Nines,15/7/2021,"$4,907 ",212,205
,,Oby Sorrel,Australia,99% Dark & Pure,15/7/2021,"$5,999 ",430,316
,,Mallorie Waber,UK,Organic Choco Syrup,15/7/2021,"$2,863 ",158,99
,,Dennison Crosswaite,Australia,Organic Choco Syrup,15/7/2021,"$3,430 ",118,132
,,Jehu Rudeforth,   Canada,Caramel Stuffed Bars,15/7/2021,"$13,405 ",229,463
,,Jan Morforth,USA,Manuka Honey Choco,15/7/2021,"$1,981 ",260,67
,,Dotty Strutley, Australia,50% Dark Bites,15/7/2021,"$9,373 ",17,1042
,,Husein Augar,   UK,85% Dark Bars,15/7/2021,"$12,089 ",104,637
,,Marney O'Breen,  USA,Drinking Coco,15/7/2021,"$2,940 ",405,109
,,Dotty Strutley,  New Zealand,Choco Coated Almonds,15/7/2021,"$2,149 ",82,127
,,Jan Morforth, Canada,White Choc,15/7/2021,"$7,378 ",104,462
,,Mallorie Waber,   Canada,After Nines,15/7/2021,$945 ,59,30
,,Dotty Strutley, USA,Mint Chip Choco,15/7/2021,"$1,225 ",62,82
,,Dennison Crosswaite,Canada,50% Dark Bites,15/7/2021,"$8,484 ",201,606
,,Brien Boise,  Australia,Baker's Choco Chips,15/7/2021,"$2,009 ",75,155
,,Jan Morforth,   USA,Orange Choco,15/7/2021,"$11,473 ",80,1913
,,Kaine Padly,India,Peanut Butter Cubes,15/7/2021,$945 ,18,45
,,Beverie Moffet,   Australia,After Nines,15/7/2021,$973 ,97,41
,,Andria Kimpton,UK,White Choc,15/7/2021,"$6,517 ",36,593
,,Husein Augar,   New Zealand,Drinking Coco,16/7/2021,"$7,798 ",84,312
,,Husein Augar,  New Zealand,Mint Chip Choco,16/7/2021,$966 ,171,57
,,Wilone O'Kielt, New Zealand,50% Dark Bites,16/7/2021,$917 ,75,77
,,Andria Kimpton,  UK,Milk Bars,16/7/2021,$434 ,211,17
,,Dotty Strutley,  Australia,Drinking Coco,16/7/2021,"$9,037 ",509,323
,,Jan Morforth,   Australia,Smooth Sliky Salty,16/7/2021,$364 ,17,22
,,Karlen McCaffrey,   USA,Almond Choco,16/7/2021,"$7,903 ",14,416
,,Gigi Bohling,   USA,85% Dark Bars,16/7/2021,"$8,540 ",154,389
,,Madelene Upcott,  Canada,Mint Chip Choco,16/7/2021,"$4,130 ",64,207
,,Dennison Crosswaite,  USA,Eclairs,16/7/2021,"$2,653 ",161,166
,,Jehu Rudeforth,  UK,Eclairs,16/7/2021,"$7,133 ",84,549
,,Andria Kimpton,   USA,Caramel Stuffed Bars,16/7/2021,"$6,678 ",32,268
,,Husein Augar,  India,Manuka Honey Choco,16/7/2021,"$9,884 ",258,396
,,Madelene Upcott,  Australia,50% Dark Bites,16/7/2021,"$11,417 ",45,1269
,,Andria Kimpton,   India,Manuka Honey Choco,16/7/2021,"$11,039 ",91,409
,,Kaine Padly,   Australia,Organic Choco Syrup,16/7/2021,$189 ,229,7
,,Madelene Upcott,   India,Choco Coated Almonds,16/7/2021,"$2,835 ",6,135
,,Karlen McCaffrey,   Canada,Organic Choco Syrup,16/7/2021,"$4,214 ",116,141
,,Husein Augar, India,Eclairs,16/7/2021,"$3,031 ",505,145
,,Camilla Castle,India,85% Dark Bars,16/7/2021,"$4,851 ",131,211
,,Jan Morforth,   UK,Eclairs,16/7/2021,"$4,543 ",364,240
,,Husein Augar, Australia,Baker's Choco Chips,19/7/2021,"$3,108 ",210,389
,,Dotty Strutley,UK,Drinking Coco,19/7/2021,"$3,563 ",69,128
,,Roddy Speechley,  India,Raspberry Choco,19/7/2021,"$8,981 ",173,499
,,Curtice Advani,   Canada,Drinking Coco,19/7/2021,$833 ,105,34
,,Mallorie Waber,  Canada,Manuka Honey Choco,19/7/2021,"$4,165 ",20,155
,,Curtice Advani,New Zealand,Drinking Coco,19/7/2021,$896 ,211,36
,,Curtice Advani,   Canada,Baker's Choco Chips,19/7/2021,"$12,943 ",9,925
,,Andria Kimpton,India,99% Dark & Pure,19/7/2021,"$3,983 ",327,182
,,Jan Morforth, Australia,Spicy Special Slims,20/7/2021,"$4,025 ",73,161
,,Dennison Crosswaite,New Zealand,99% Dark & Pure,20/7/2021,"$4,809 ",169,241
,,Husein Augar,  Australia,Eclairs,20/7/2021,"$6,398 ",106,400
,,Dotty Strutley, USA,Smooth Sliky Salty,20/7/2021,"$2,387 ",160,171
,,Oby Sorrel,  India,Baker's Choco Chips,20/7/2021,"$5,789 ",245,446
,,Jehu Rudeforth,USA,Manuka Honey Choco,20/7/2021,"$6,769 ",60,219
,,Camilla Castle,  UK,White Choc,20/7/2021,"$3,248 ",113,271
,,Kaine Padly, Canada,Organic Choco Syrup,20/7/2021,"$11,473 ",290,499
,,Dennison Crosswaite,India,Raspberry Choco,20/7/2021,$819 ,135,49
,,Oby Sorrel,   USA,Peanut Butter Cubes,20/7/2021,"$6,195 ",66,239
,,Curtice Advani,  USA,Peanut Butter Cubes,20/7/2021,"$2,961 ",24,119
,,Karlen McCaffrey,   Australia,Spicy Special Slims,20/7/2021,"$3,360 ",247,147
,,Husein Augar,  USA,Almond Choco,20/7/2021,"$10,059 ",284,592
,,Andria Kimpton,   UK,Spicy Special Slims,20/7/2021,"$5,257 ",278,229
,,Van Tuxwell,   USA,Smooth Sliky Salty,21/7/2021,"$1,596 ",244,84
,,Karlen McCaffrey, India,Caramel Stuffed Bars,21/7/2021,"$8,316 ",85,320
,,Dennison Crosswaite,UK,50% Dark Bites,21/7/2021,"$3,283 ",356,235
,,Karlen McCaffrey,India,After Nines,21/7/2021,"$6,727 ",113,217
,,Brien Boise,  Australia,85% Dark Bars,21/7/2021,"$1,344 ",252,68
,,Wilone O'Kielt, Australia,Mint Chip Choco,21/7/2021,"$4,774 ",72,319
,,Karlen McCaffrey, USA,Milk Bars,21/7/2021,$399 ,243,14
,,Jehu Rudeforth,Australia,Milk Bars,21/7/2021,"$3,024 ",301,121
,,Jan Morforth, Australia,Almond Choco,21/7/2021,$602 ,126,41
,,Kelci Walkden, India,Choco Coated Almonds,21/7/2021,"$8,673 ",94,434
,,Marney O'Breen,  Australia,Smooth Sliky Salty,21/7/2021,"$12,404 ",192,591
,,Gigi Bohling,   Canada,Eclairs,21/7/2021,"$9,541 ",54,637
,,Marney O'Breen,USA,Almond Choco,21/7/2021,$483 ,180,25
,,Gigi Bohling, New Zealand,Drinking Coco,21/7/2021,"$2,709 ",173,97
,,Kaine Padly,   UK,Raspberry Choco,21/7/2021,"$10,983 ",68,687
,,Mallorie Waber,  New Zealand,Manuka Honey Choco,22/7/2021,"$4,326 ",183,140
,,Karlen McCaffrey,New Zealand,Mint Chip Choco,22/7/2021,$112 ,89,7
,,Oby Sorrel,  USA,Baker's Choco Chips,22/7/2021,"$5,565 ",39,619
,,Oby Sorrel, Australia,50% Dark Bites,22/7/2021,"$9,898 ",110,1100
,,Beverie Moffet,  USA,After Nines,22/7/2021,$476 ,176,20
,,Roddy Speechley,   USA,Eclairs,22/7/2021,"$4,599 ",197,329
,,Wilone O'Kielt,USA,White Choc,22/7/2021,"$3,031 ",113,190
,,Dennison Crosswaite,UK,After Nines,22/7/2021,"$5,208 ",124,186
,,Gigi Bohling,  USA,Choco Coated Almonds,22/7/2021,"$5,873 ",185,267
,,Karlen McCaffrey, India,Spicy Special Slims,22/7/2021,"$16,968 ",139,653
,,Rafaelita Blaksland,  USA,Choco Coated Almonds,22/7/2021,"$12,635 ",78,903
,,Jan Morforth, New Zealand,99% Dark & Pure,22/7/2021,$567 ,120,34
,,Curtice Advani,  UK,Organic Choco Syrup,22/7/2021,"$8,246 ",383,330
,,Rafaelita Blaksland,   New Zealand,Orange Choco,23/7/2021,"$3,101 ",232,239
,,Jehu Rudeforth,   Canada,Smooth Sliky Salty,23/7/2021,"$4,326 ",221,228
,,Dotty Strutley, New Zealand,Eclairs,23/7/2021,"$5,376 ",114,317
,,Curtice Advani,   New Zealand,Spicy Special Slims,23/7/2021,"$2,240 ",9,102
,,Van Tuxwell,  UK,Fruit & Nut Bars,23/7/2021,$784 ,118,44
,,Barr Faughny,   Canada,Almond Choco,26/7/2021,"$2,240 ",198,118
,,Barr Faughny,  Canada,Peanut Butter Cubes,26/7/2021,"$6,643 ",352,266
,,Gunar Cockshoot, USA,Smooth Sliky Salty,26/7/2021,"$4,459 ",186,235
,,Dotty Strutley,  Canada,Choco Coated Almonds,26/7/2021,"$6,713 ",286,373
,,Husein Augar,  Canada,Spicy Special Slims,26/7/2021,"$3,108 ",169,116
,,Brien Boise,   Canada,Choco Coated Almonds,26/7/2021,"$11,116 ",118,530
,,Curtice Advani,USA,99% Dark & Pure,26/7/2021,$406 ,329,18
,,Rafaelita Blaksland,   UK,70% Dark Bites,26/7/2021,"$6,055 ",532,757
,,Mallorie Waber,  Australia,Milk Bars,26/7/2021,"$2,968 ",12,106
,,Roddy Speechley,Canada,99% Dark & Pure,27/7/2021,"$5,369 ",264,256
,,Ches Bonnell, Australia,Caramel Stuffed Bars,27/7/2021,"$9,268 ",124,371
,,Curtice Advani, UK,Manuka Honey Choco,27/7/2021,"$7,735 ",458,287
